Id,Name,Usage,Disease,Disease ID,In a panel,Evidence level,Type,Source,Source ID,Assay/Test,Pmid,Molecular type,Molecular ID,Treatment
340,Apolipoprotein C-III,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P02656,
341,Apolipoprotein D,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P05090,
342,Apolipoprotein E,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P02649,
343,Clusterin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P10909,
344,Beta-2-glycoprotein 1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P02749,
345,Beta-2-microglobulin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P61769,
346,Betaine--homocysteine S-methyltransferase 1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,Q93088,
347,Bone morphogenetic protein 1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P13497,
348,Carbonic anhydrase 1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P00915 ,
349,CD27 antigen,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P26842,
350,CD59 glycoprotein,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P13987,
351,C-C motif chemokine 14|C-X-C motif chemokine 14,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,Q16627|O95715,
352,Complement factor B,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P00751,
353,Complement C2,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P06681,
354,Complement factor D,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P00746,
355,Complement factor H,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P08603,
356,Complement factor H,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P08603,
357,Cystatin-C,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P01034,
358,Serpin B8,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P50452,
359,Acyl-CoA-binding protein,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P07108,
360,Pro-epidermal growth factor,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P01133,
361,Fibronectin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P02751,
362,Glutaminyl-peptide cyclotransferase,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,Q16769,
363,Guanylate cyclase soluble subunit beta-1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,Q02153,
364,Heat shock cognate 71 kDa protein,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P11142,
365,Hemopexin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P02790,
366,Insulin-like growth factor-binding protein 2,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P18065,
367,Insulin-like growth factor-binding protein 4,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P22692,
368,Insulin-like growth factor-binding protein 5,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P24593,
369,Insulin-like growth factor-binding protein 6,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P24592,
370,Insulin-like growth factor-binding protein 7,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,Q16270,
371,Insulin-like growth factor II,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P01344,
372,Kininogen-1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P01042,
373,Latent-transforming growth factor beta-binding protein 1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,Q14766,
374,Lithostathine-1-alpha|Lithostathine-1-beta,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P05451|P48304,
375,L-lactate dehydrogenase B chain,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P07195,
376,Lysozyme C,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,15140760,Protein,P16973,
377,Mannan-binding lectin serine protease 2,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,O00187,
378,Nuclear protein MDM1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,Q9D067,
379,Myeloperoxidase,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P05164,
380,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,P80188,
381,Osteopontin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P10451,
382,Platelet-derived growth factor subunit B|Platelet-derived growth factor subunit A|Platelet-derived growth factor C|Platelet-derived growth factor D,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P01127|P04085|Q9NRA1|Q9GZP0,
383,Basement membrane-specific heparan sulfate proteoglycan core protein,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P98160,
384,Phosphatidylethanolamine-binding protein 4,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,Q96S96,
385,Pigment epithelium-derived factor,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P36955,
386,Polymeric immunoglobulin receptor,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P01833,
387,Profilin-1,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,15140760,Protein,P07737,
388,Platelet basic protein,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P02775,
389,Retinol-binding protein 4,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P02753,
390,ORM1-like protein 3,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,15140760,Protein,Q8N138,
391,Tumor necrosis factor,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P01375,
392,Tumor necrosis factor receptor superfamily member 1B|Tumor necrosis factor receptor superfamily member 1A,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P20333|P19438,
393,Transthyretin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P02766,
394,Uteroglobin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P11684,
395,Urokinase-type plasminogen activator,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,15140760,Protein,P00749,
396,Uromodulin,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P07911,
397,Vitamin D-binding protein,DiagnosticBM,Dent disease,http://purl.obolibrary.org/obo/DOID_447,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15140760,Protein,P02774,
398,Aquaporin-2,DiagnosticBM,Diabetes insipidus,http://purl.obolibrary.org/obo/DOID_9409,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot|radioimmunoassay,7537863,Protein,P41181,
399,Angiotensin-converting enzyme 2,DiagnosticBM,Diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9351,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,23761674,Protein,Q8R0I0,
400,Collagen alpha-1(I) chain,DiagnosticBM,Diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9351,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,20927192,Protein,P02452,
401,Collagen alpha-1(III) chain,DiagnosticBM,Diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9351,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,20927192,Protein,P02461,
402,Cystatin-C,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,22795897,Protein,P14841,
403,C-C motif chemokine 2,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA)|immunohistochemistry,11012884,Protein,P13500,
404,Connective tissue growth factor,PrognosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),12846740,Protein,Q9R1E9,
405,Nephrin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,11555666,Protein,Q9R044,
406,Nephrin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22496773,Protein,Q9R044,
407,Cystatin-C,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,22736507,Protein,P14841,
408,Clusterin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,22736507,Protein,P05371,
409,Cathepsin B,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,22736507,Protein,P00787,
410,Putative uncharacterized protein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,22736507,Protein,Q3UMV5,
411,Peroxiredoxin-1,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,22736507,Protein,Q63716,
412,Alpha-1-antitrypsin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,15984045,Protein,P01009,
413,Zinc-alpha-2-glycoprotein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,16121805,Protein,P25311,
414,Alpha-1-acid glycoprotein 1,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,16121805,Protein,P02763,
415,Protein AMBP,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,16121805,Protein,P02760,
416,Afamin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P43652,
417,Alpha-1-antichymotrypsin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P01011,
418,Alpha-1-antitrypsin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P01009,
419,Alpha-1B-glycoprotein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P04217,
420,Zinc-alpha-2-glycoprotein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P25311,
421,Alpha-2-HS-glycoprotein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02765,
422,Protein AMBP,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02760,
423,Apolipoprotein A-II,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02652,
424,Apolipoprotein A-I,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02647,
425,Apolipoprotein A-IV,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P06727,
426,Protein S100-A9,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P06702,
427,Ceruloplasmin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P00450,
428,Complement component C9,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02748,
429,Complement component C7,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P10643,
430,Complement factor B,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P00751,
431,Haptoglobin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P00738,
432,Hemopexin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02790,
433,Polymeric immunoglobulin receptor,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P01833,
434,Leucine-rich alpha-2-glycoprotein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02750,
435,Retinol-binding protein 4,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02753,
436,Prostaglandin-H2 D-isomerase,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P41222,
437,Serotransferrin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02787,
438,Transthyretin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02766,
439,Vitamin D-binding protein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,17327332,Protein,P02774,
440,Ubiquitin-60S ribosomal protein L40,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,17634209,Protein,P62987,
441,Polyubiquitin-B,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,17634209,Protein,P0CG47,
442,Cadherin-1,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P12830,
443,Serum albumin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P02768,
444,Zinc-alpha-2-glycoprotein,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P25311,
445,Kininogen-1,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P01042,
446,Alpha-1-acid glycoprotein 1,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P02763,
447,Retinol-binding protein 4,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P02753,
448,Prostaglandin-H2 D-isomerase,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P41222,
449,Ig kappa chain C region,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P01834,
450,Uromodulin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P07911,
451,Transthyretin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P02766,
452,Haptoglobin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P00738,
453,Protein AMBP,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19177462,Protein,P02760,
454,Uromodulin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,19165811,Protein,P07911,
455,Collagen alpha-1(I) chain,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,19165811,Protein,P02452,
456,Collagen alpha-5(IV) chain,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,19165811,Protein,P29400,
457,Low-density lipoprotein receptor-related protein 2,PrognosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,19366958,Protein,P98164,
458,Cubilin,PrognosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,19366958,Protein,O60494,
459,Serum albumin,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,20388048,Protein,P02768,
460,Protein O-GlcNAcase,PrognosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20138413,Protein,O60502,
461,Collagen alpha-1(VII) chain,PrognosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20614725,Protein,Q02388,
462,Pigment epithelium-derived factor,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20523035,Protein,P36955,
463,Cystatin-C,DiagnosticBM,Diabetic Nephropathy,http://ns.ontoforce.com/datasets/nci/C84417,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21286018,Protein,P01034,
